Zone                                 ,Measure ,Unit  ,Annual guideline,Dry ,Wet ,DirectionOfFailure,Justification/Source
Offshore_Burnett Mary                ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,"Applied 20% higher in summer, 20% lower in winter"
,,,,,,,
Enclosed_Coastal_Cape York           ,sd      ,m     ,1               ,1   ,1   ,L                 ,QLD WQ guidelines
Enclosed_Coastal_Wet Tropics         ,sd      ,m     ,1               ,1   ,1   ,L                 ,There is no seasonal adjustment
Enclosed_Coastal_Dry Tropics         ,sd      ,m     ,1.5             ,1.5 ,1.5 ,L                 ,
Enclosed_Coastal_Mackay Whitsunday   ,sd      ,m     ,1.5             ,1.5 ,1.5 ,L                 ,Unclear as to why the CY/WT guidelines 
Enclosed_Coastal_Fitzroy             ,sd      ,m     ,1.5             ,1.5 ,1.5 ,L                 ,are lower than Southern regions
Enclosed_Coastal_Burnett Mary        ,sd      ,m     ,1.5             ,1.5 ,1.5 ,L                 ,
,,,,,,,
Open_Coastal_Cape York               ,sd      ,m     ,10              ,10  ,10  ,L                 ,GBRMPA WQ guidelines
Open_Coastal_Wet Tropics             ,sd      ,m     ,10              ,10  ,10  ,L                 ,There is no seasonal adjustment
Open_Coastal_Dry Tropics             ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Open_Coastal_Mackay Whitsunday       ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Open_Coastal_Fitzroy                 ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Open_Coastal_Burnett Mary            ,sd      ,m     ,10              ,10  ,10  ,L                 ,
,,,,,,,
Midshelf_Cape York                   ,sd      ,m     ,10              ,10  ,10  ,L                 ,GBRMPA WQ guidelines
Midshelf_Wet Tropics                 ,sd      ,m     ,10              ,10  ,10  ,L                 ,There is no seasonal adjustment
Midshelf_Dry Tropics                 ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Midshelf_Mackay Whitsunday           ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Midshelf_Fitzroy                     ,sd      ,m     ,10              ,10  ,10  ,L                 ,
Midshelf_Burnett Mary                ,sd      ,m     ,10              ,10  ,10  ,L                 ,
,,,,,,,
Offshore_Cape York                   ,sd      ,m     ,17              ,17  ,17  ,L                 ,GBRMPA WQ guidelines
Offshore_Wet Tropics                 ,sd      ,m     ,17              ,17  ,17  ,L                 ,There is no seasonal adjustment
Offshore_Dry Tropics                 ,sd      ,m     ,17              ,17  ,17  ,L                 ,
Offshore_Mackay Whitsunday           ,sd      ,m     ,17              ,17  ,17  ,L                 ,
Offshore_Fitzroy                     ,sd      ,m     ,17              ,17  ,17  ,L                 ,
Offshore_Burnett Mary                ,sd      ,m     ,17              ,17  ,17  ,L                 ,
